FumblesLost,OFRTD,PassingInterceptions,PassingTDs,PassingYards,ReceivingTDs,ReceivingYards,Receptions,RushingTDs,RushingYards,Salary,TwoPtsPassing,TwoPtsReceiving,TwoPtsRushing,Name,Team,Position,GSIS_ID,HmeFldAdv,NextGame
0,0,0,0,0,0.25,22.5,0,0,0,3900,0,0,0,Rishard Matthews,MIA,WR,00-0029580,HME,Mia@SD 04:25PM ET
0,0,0,0,0,0.4,61,0,0,0,7700,0,0,0,Rob Gronkowski,NE,TE,00-0027656,HME,Ten@NE 01:00PM ET
0,0.5,0,0,0,0,11.25,0,1,45.25,4300,0,0,0,Ronnie Hillman,DEN,RB,00-0029683,HME,Den@Pit 04:25PM ET
0,0.3333333333,0,0,0,0,47,0,0,0,3500,0,0,0,Rueben Randle,NYG,WR,00-0029262,HME,Car@NYG 01:00PM ET
0,0.3333333333,0.3333333333,3,281.666666667,0,0,0,0,32,7000,0,0,0,Russell Wilson,SEA,QB,00-0029263,HME,Cle@Sea 04:05PM ET
0,0.25,0.5,2.75,251.25,0,0,0,0,18.5,5400,0,0,0,Ryan Fitzpatrick,NYJ,QB,00-0023682,HME,NYJ@Dal 08:25PM ET
0,0,0,0,0,0,8.6666666667,0,0.3333333333,18.6666666667,4000,0,0,0,Ryan Mathews,PHI,RB,00-0027864,HME,Ari@Phi 08:30PM ET
0,0.25,0.25,2,198,0,0,0,0,12.75,5100,0,0,0,Ryan Tannehill,MIA,QB,00-0029701,HME,Mia@SD 04:25PM ET
0,0.3333333333,0.3333333333,0.6666666667,161,0,0,0,0,1,5100,0,0,0,Sam Bradford,PHI,QB,00-0027854,HME,Ari@Phi 08:30PM ET
0,0,0,0,0,1,138.5,0,0,0,6200,0,0,0,Sammy Watkins,BUF,WR,00-0031325,HME,Buf@Was 01:00PM ET
0,0,0,0,0,0,43.3333333333,0,0,-2,4000,0,0,0,Stefon Diggs,MIN,WR,00-0031588,HME,Chi@Min 01:00PM ET
0,0,0,0,0,0,21,0,0.25,66.75,4900,0,0,0.25,T.J. Yeldon,JAC,RB,00-0032209,HME,Atl@Jax 01:00PM ET
0,0,0,0,0,1.3333333333,109,0,0,0,5900,0,0,0,T.Y. Hilton,IND,WR,00-0029608,HME,Hou@Ind 01:00PM ET
0.2,0,0,0,0,0.2,37.8,0,0.2,22.8,3900,0,0,0,Tavon Austin,STL,WR,00-0030525,HME,TB@StL 08:25PM ET
0,0,0,0,0,0.6,59.2,0,0,12,4600,0,0,0,Ted Ginn,CAR,WR,00-0025396,HME,Car@NYG 01:00PM ET
0,0,0.6666666667,0.3333333333,186,0,0,0,0.3333333333,20.6666666667,5100,0,0,0,Teddy Bridgewater,MIN,QB,00-0031237,HME,Chi@Min 01:00PM ET
0,0,0,0,0,0.25,50.25,0,0,8,4000,0,0,0,Theo Riddick,DET,RB,00-0030107,HME,Det@NO 08:30PM ET
0,0.3333333333,0,0,0,0.3333333333,15.3333333333,0,0.6666666667,103,6500,0,0,0,Thomas Rawls,SEA,RB,00-0031897,HME,Cle@Sea 04:05PM ET
