,Name,Team,Position,Salary,Points,,,
60,Karlos Williams,BUF,RB,3600,4.1536846835,,,
61,Ronnie Hillman,DEN,RB,4300,3.6672809798,,,
62,Marshawn Lynch,SEA,RB,6500,3.3579725478,,,
63,Matt Forte,CHI,RB,6500,2.3739623176,,,
64,Jordan Reed,WAS,TE,5900,12.48211122,,,
65,Gary Barnidge,CLE,TE,5000,11.7863436354,,,
66,Benjamin Watson,NO,TE,4800,11.3319241399,,,
67,Rob Gronkowski,NE,TE,7700,10.3738568351,,,
68,Delanie Walker,TEN,TE,5600,10.0083136453,,,
69,Richard Rodgers,GB,TE,4300,9.890288844,,,
70,Julius Thomas,JAC,TE,4700,6.9882925003,,,
71,Crockett Gillmore,BAL,TE,3000,5.9646871036,,,
72,Tyler Eifert,CIN,TE,5200,3.7892509579,,,
73,Travis Kelce,KC,TE,4400,3.727934753,,,
74,Jason Witten,DAL,TE,4300,3.7171582694,,,
75,Antonio Gates,SD,TE,4600,3.485596925,,,
76,Austin Seferian-Jenkins,TB,TE,3400,0,,,
77,Doug Baldwin,SEA,WR,5800,25.5926770873,,,
78,Golden Tate,DET,WR,5500,21.2083285045,,,
79,Antonio Brown,PIT,WR,8700,17.6804761786,,,
80,Julio Jones,ATL,WR,8500,16.7680492263,,,
81,A.J. Green,CIN,WR,7900,16.0360535444,,,
82,Brandin Cooks,NO,WR,5900,15.5948895035,,,
83,Michael Floyd,ARI,WR,4400,15.4362768522,,,
84,Jarvis Landry,MIA,WR,6300,12.9092941189,,,
85,Odell Beckham,NYG,WR,9200,12.7999320135,,,
86,T.Y. Hilton,IND,WR,5900,12.6483777806,,,
87,Mike Evans,TB,WR,7400,11.3475572916,,,
88,Willie Snead,NO,WR,4600,10.7654787055,,,
89,Danny Amendola,NE,WR,5700,10.7349028829,,,
90,Demaryius Thomas,DEN,WR,6800,10.5429091199,,,
91,Larry Fitzgerald,ARI,WR,7300,10.430766289,,,
92,Jeremy Maclin,KC,WR,5500,10.3897336289,,,
93,Nate Washington,HOU,WR,3400,10.389222333,,,
94,Martavis Bryant,PIT,WR,5500,10.3886781297,,,
95,DeAndre Hopkins,HOU,WR,8500,10.1100552773,,,
96,Sammy Watkins,BUF,WR,6200,9.7370854087,,,
97,Julian Edelman,NE,WR,7400,9.5636011809,,,
98,Ted Ginn,CAR,WR,4600,9.2784075069,,,
99,Brandon Marshall,NYJ,WR,7600,9.1256323223,,,
100,Tyler Lockett,SEA,WR,4200,8.8885002476,,,
101,Randall Cobb,GB,WR,6300,8.4647987632,,,
102,Calvin Johnson,DET,WR,6900,8.2894604751,,,
103,Travis Benjamin,CLE,WR,4500,8.2731655285,,,
104,Allen Robinson,JAC,WR,7600,8.2519477194,,,
105,DeSean Jackson,WAS,WR,4500,8.2431285159,,,
106,Eric Decker,NYJ,WR,6300,8.1260926833,,,
107,Kamar Aiken,BAL,WR,4600,7.7922846571,,,
108,Alshon Jeffery,CHI,WR,7300,7.4751655026,,,
109,Michael Crabtree,OAK,WR,5700,7.3415823622,,,
110,James Jones,GB,WR,4000,7.2716105017,,,
111,Tavon Austin,STL,WR,3900,6.6882058983,,,
112,Rueben Randle,NYG,WR,3500,6.5674726325,,,
113,Allen Hurns,JAC,WR,5600,6.3699958236,,,
114,Emmanuel Sanders,DEN,WR,5500,6.2604296519,,,
115,Donte Moncrief,IND,WR,4300,5.7905287982,,,
116,Rishard Matthews,MIA,WR,3900,5.4843744886,,,
117,Marvin Jones,CIN,WR,4200,5.3300457319,,,
118,Vincent Jackson,TB,WR,4500,5.0417951737,,,
119,John Brown,ARI,WR,4900,5.0321506993,,,
120,Pierre Garcon,WAS,WR,4100,4.5830393998,,,
121,Amari Cooper,OAK,WR,6000,4.5029480472,,,
122,Anquan Boldin,SF,WR,3900,3.861883095,,,
123,Cecil Shorts,HOU,WR,3600,3.7707449122,,,
124,Stefon Diggs,MIN,WR,4000,3.6837822215,,,
125,Jordan Matthews,PHI,WR,4300,2.0697674104,,,
126,Kendall Wright,TEN,WR,4000,0.5971520764,,,
