FumblesLost,OFRTD,PassingInterceptions,PassingTDs,PassingYards,ReceivingTDs,ReceivingYards,Receptions,RushingTDs,RushingYards,Salary,TwoPtsPassing,TwoPtsReceiving,TwoPtsRushing,Name,Team,Position,GSIS_ID,HmeFldAdv,NextGame
0.4,0,0.4,1,230.4,0,0,0,0,9,5100,0,0,0,Teddy Bridgewater,MIN,QB,00-0031237,AWY,Chi@Min 01:00PM ET
0,0,0,0,0,0,33,0,0,12,4000,0,0,0,Theo Riddick,DET,RB,00-0030107,AWY,Det@NO 08:30PM ET
0.25,0,0,0,0,0,7.75,0,0.25,46.75,6500,0,0,0,Thomas Rawls,SEA,RB,00-0031897,AWY,Cle@Sea 04:05PM ET
0.3333333333,0,0,0,0,0,10.3333333333,0,0.6666666667,58,6700,0,0,0,Todd Gurley,STL,RB,00-0032241,AWY,TB@StL 08:25PM ET
0.3333333333,0,0.3333333333,2.3333333333,280,0,0,0,0,6.3333333333,7800,0,0,0,Tom Brady,NE,QB,00-0019596,AWY,Ten@NE 01:00PM ET
0,0,0.4,0.4,45.4,0,0,0,0,0.4,5600,0,0,0,Tony Romo,DAL,QB,00-0021678,AWY,NYJ@Dal 08:25PM ET
0.3333333333,0,0,0,0,0,60.6666666667,0,0,-2.3333333333,4500,0,0,0,Travis Benjamin,CLE,WR,00-0029269,AWY,Cle@Sea 04:05PM ET
0.3333333333,0,0,0,0,0,41.3333333333,0,0,0,4400,0,0.3333333333,0,Travis Kelce,KC,TE,00-0030506,AWY,KC@Bal 01:00PM ET
0,0,0,0,0,0.6666666667,20.3333333333,0,0,0,5200,0,0,0,Tyler Eifert,CIN,TE,00-0030549,AWY,Cin@SF 04:25PM ET
0,0,0,0,0,0.75,77.25,0,0,1.75,4200,0,0,0,Tyler Lockett,SEA,WR,00-0032211,AWY,Cle@Sea 04:05PM ET
0.2,0.2,0.2,1,190,0,0,0,0,22.4,5600,0,0,0.2,Tyrod Taylor,BUF,QB,00-0028118,AWY,Buf@Was 01:00PM ET
0,0,0,0,0,0.25,36.25,0,0,0,4500,0,0,0,Vincent Jackson,TB,WR,00-0023496,AWY,TB@StL 08:25PM ET
0,0,0,0,0,0,49.25,0,0,0,4600,0,0,0,Willie Snead,NO,WR,00-0030663,AWY,Det@NO 08:30PM ET
